trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.25, 'e': 0.17224993019150142}",25,16,14.260251690133689,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.1705274308895864}",25,14,-62.53461463748763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
177,False,"{'a': 0.25, 'e': 0.16882215658069055}",20,5,19.14087786782039,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.25, 'e': 0.16713393501488363}",25,15,16.460165968154662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.25, 'e': 0.16546259566473479}",30,5,6.48339500380224,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.25, 'e': 0.16380796970808745}",20,3,-32.270810849853,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
181,False,"{'a': 0.25, 'e': 0.16216989001100657}",25,0,6.841413952007615,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.25, 'e': 0.1605481911108965}",25,15,19.156702371991585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.25, 'e': 0.15894270919978754}",25,16,11.742870258137065,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.25, 'e': 0.15735328210778965}",20,0,20.87271522956915,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.25, 'e': 0.15577974928671176}",30,12,32.07784104595776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.25, 'e': 0.15422195179384465}",20,5,13.456622414126308,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.25, 'e': 0.1526797322759062}",35,21,25.3694656172704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.25, 'e': 0.15115293495314713}",25,13,-6.10845422786065,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.25, 'e': 0.14964140560361566}",30,16,23.069222462734043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.25, 'e': 0.1481449915475795}",25,16,12.644526144378078,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.25, 'e': 0.1466635416321037}",20,14,10.430562367750838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.25, 'e': 0.14519690621578268}",20,14,2.002790813747314,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.25, 'e': 0.14374493715362485}",25,12,-0.3460901073231861,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.25, 'e': 0.1423074877820886}",20,0,17.224902990825477,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.25, 'e': 0.1408844129042677}",20,12,12.221316996052698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.25, 'e': 0.13947556877522502}",20,10,-0.5025988002245674,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.25, 'e': 0.13808081308747278}",20,6,17.081372704727947,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.25, 'e': 0.13670000495659804}",20,13,-10.043637990284674,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.25, 'e': 0.13533300490703207}",20,13,3.511510365051091,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.25, 'e': 0.13397967485796175}",20,14,10.690943475432132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.25, 'e': 0.13263987810938213}",20,11,16.87784837233563,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.25, 'e': 0.1313134793282883}",25,13,23.65771995756874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.25, 'e': 0.13000034453500542}",30,18,16.58747662976557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.25, 'e': 0.12870034108965536}",20,8,-20.85982121393467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.25, 'e': 0.12741333767875881}",25,15,16.10029247539072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.25, 'e': 0.12613920430197123}",25,14,10.378250260378557,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.25, 'e': 0.12487781225895152}",25,8,17.76720901662756,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.25, 'e': 0.123629034136362}",25,19,9.533593203402459,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.25, 'e': 0.12239274379499838}",25,17,15.155554403160707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.25, 'e': 0.1211688163570484}",20,0,4.089672971779423,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
